mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
56.661879014968875,3.187000479669844,1.302321195602417,0.2948276097038576,0.7,800,8,0.03,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 800, 'clf__max_depth': 8, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.41890959173180864,0.4217085986112441,0.4187360549881516,0.42249345076489847,0.4184154184218046,0.42005262290358153,0.0016982465100028434,2,0.5960659600672997,0.5967657954408051,0.603102672665235,0.6006757733927189,0.6013844230898752,0.5995989249311868,0.0027251538637795302
12.880510473251343,0.4002573796841714,0.5710036277770996,0.01688686595220899,0.7,200,4,0.03,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.3837083896203484,0.38437746280319773,0.3829408486693348,0.38590183636333836,0.3844458244246188,0.38427487237616764,0.0009784971310301154,10,0.38957350206607205,0.3914562620022588,0.3940978169314273,0.3926385311058553,0.3946637035364999,0.39248596312842265,0.0018388375025489509
20.926407766342162,1.1632255294399125,0.7778938770294189,0.10993341492752308,1.0,200,10,0.03,0.9,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 10, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.40385938681715433,0.41146942903864875,0.4089497457183857,0.4067283447368724,0.40236672823415925,0.4066747269090441,0.003306138121185078,4,0.5160978222075884,0.5179287375190937,0.5220506843687401,0.5187736102832545,0.5268000894417698,0.5203301887640893,0.003766232898330897
15.159295749664306,0.5305506857119093,0.6209268569946289,0.02394691307152442,0.7,200,6,0.03,0.7,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.7}",0.3926683025480185,0.39355446163035507,0.3931981645211508,0.39401305810229276,0.3927921664244031,0.393245230645244,0.0004950780228534245,9,0.4159825233702217,0.41393151796575767,0.41951912094418065,0.4167781214755913,0.4229438422293846,0.4178310251970272,0.0031216113516887908
12.48980417251587,0.7852573136040981,0.5755889415740967,0.03840962518755907,0.7,200,4,0.1,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.9}",0.40567031994808506,0.4059446358223468,0.40799564358490964,0.40442362462158554,0.40471137252235323,0.405749119299856,0.0012589806931071557,5,0.42507731370679,0.42489694185747134,0.42860250405789463,0.4256696567408878,0.4303372377122863,0.426916730815066,0.0021707093466466587
18.160324096679688,0.9970402322991724,0.681335735321045,0.013347131365341084,0.7,200,8,0.03,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 8, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.4018093983416288,0.40474285727917936,0.4022129037905091,0.4043137780609385,0.39997066772964174,0.4026099210403795,0.0017445150083300399,6,0.463866968703531,0.46170710590430125,0.4649911977987194,0.4630988156337114,0.47009993015314994,0.46475280363868265,0.002879070970969578
25.555956315994262,0.339817609373871,0.720821475982666,0.0790072425556472,0.7,500,4,0.03,1.0,"{'clf__subsample': 0.7, 'clf__n_estimators': 500, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 1.0}",0.39968603666887387,0.399729865483228,0.40108691082561837,0.4012450475129458,0.3975308170238012,0.39985573550289344,0.0013338566210133146,7,0.41711725253422177,0.4163035225725375,0.42055670336362777,0.41859681669895304,0.42323639373468597,0.4191621377808052,0.0024986876254844896
41.172116374969484,0.5957808837648976,1.067217969894409,0.06060869027027327,0.9,800,6,0.1,0.9,"{'clf__subsample': 0.9, 'clf__n_estimators': 800, 'clf__max_depth': 6, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.9}",0.4225049216119301,0.4244263928005205,0.42821438826321695,0.4264357929429797,0.41900144477807305,0.42411658807934405,0.0031946460306721707,1,0.6322436949953462,0.6349012796126701,0.6352321787751125,0.6349476123610855,0.6393679399356297,0.6353385411359688,0.002287770234067729
25.939426469802857,0.8443281125695102,0.8506187915802002,0.10074877849446298,1.0,500,6,0.05,1.0,"{'clf__subsample': 1.0, 'clf__n_estimators': 500, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 1.0}",0.4127150127118164,0.4149430330971222,0.4137813680888112,0.41278963793623563,0.40885279204832586,0.4126163687764623,0.0020481627315760914,3,0.4681608878080476,0.46735303782417087,0.474963990233007,0.4712027168062809,0.4736794671218172,0.4710720199586647,0.002975527298010009
12.1244610786438,0.7358246821925699,0.5864922523498535,0.06475026165061422,0.7,200,4,0.05,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.9}",0.39571997502109596,0.39386377220654173,0.3932100671279051,0.3922204985710506,0.39428491495940593,0.3938598455771999,0.0011619338695377274,8,0.40518447747410047,0.4036795932859268,0.40828026461360606,0.4059004781523435,0.4118788187375813,0.4069847264527116,0.0028625497176879774
