mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__metric,param_clf__n_neighbors,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.344850254058838,0.27561540304709997,8.081935405731201,0.338548333659908,euclidean,5,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.3265832010692043,0.3335839027432545,0.3342262453986868,0.3337080759434117,0.3316853153976626,0.331957348110444,0.002821846241060242,11,0.5728617622830102,0.5742578356527027,0.5753117254676849,0.575328813258539,0.5739543972302344,0.5743429067784344,0.0009233186905889584
4.556433296203613,0.36659167831265443,8.322362375259399,0.33004693182218275,euclidean,5,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.3454845565079642,0.35149056843335685,0.3526226754921391,0.34981955058015646,0.3485213919313712,0.3495877485889976,0.0024842921972152866,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.446200037002564,0.2290970979993329,8.467438507080079,0.5369139305085503,euclidean,11,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.31060109092714955,0.3121749143307886,0.31778758412980374,0.31327075908896984,0.31612109851070647,0.3139910893974836,0.0026176236677590754,13,0.4577088410809713,0.45831665473325484,0.45888017571871065,0.46055276232660436,0.4578334121338285,0.4586583691986739,0.0010331360061970297
4.251648855209351,0.18309071146389125,8.41457166671753,0.3102863488650175,euclidean,11,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.329764071224139,0.33027712640517937,0.3372651914258254,0.33113122160306524,0.33225680937516505,0.3321388840066748,0.002698673555161563,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.2449723243713375,0.17225328258735473,8.41198663711548,0.26458755099509706,euclidean,21,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 21, 'clf__weights': 'uniform'}",0.30223807937927333,0.3025942802802816,0.30277944383214167,0.30473376550179165,0.3037834662280113,0.3032258070442999,0.000911986248338976,15,0.3923028941296407,0.39383006566148576,0.3946718059875825,0.39790186428781227,0.3957112566067192,0.3948835773346481,0.0018766869138240247
4.231007146835327,0.18662330145885256,8.838535451889038,0.3642463801791168,euclidean,21,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 21, 'clf__weights': 'distance'}",0.31417541026373685,0.3147639851884804,0.3187848259282225,0.31940064074567776,0.3170604772890957,0.31683706788304267,0.0020879498139666536,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.405289506912231,0.45562500150815066,8.439777183532716,0.1696303343585137,euclidean,31,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 31, 'clf__weights': 'uniform'}",0.29333528812865856,0.29529502022756465,0.2962418592063443,0.29660316398843095,0.2963764980503601,0.2955703659202717,0.0012032299928982455,16,0.3619383543085877,0.36485520479978467,0.36414388549632665,0.36711951977168233,0.3655425719108272,0.3647199072574417,0.0017042335903244465
4.4241986751556395,0.4553900504325682,8.154323816299438,0.10329065706987343,euclidean,31,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 31, 'clf__weights': 'distance'}",0.3028846615715945,0.3041643401183109,0.30889427202186415,0.30849997282978525,0.3069581485034328,0.30628027900899746,0.002376001782455575,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.239183044433593,0.32593462408896745,66.23572821617127,0.7276129857178811,manhattan,5,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.3797608301647976,0.38610304122717937,0.3850799602244783,0.3867991157348251,0.3863088371529584,0.38481035690084775,0.0025861958063313683,8,0.697896681468492,0.698121906367214,0.6985955493715122,0.6991429651078828,0.6982734186282441,0.698406104188669,0.0004328368882303271
4.222639703750611,0.22420449630015069,66.23520431518554,0.6471984933975762,manhattan,5,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.3826771027307034,0.3935254727697865,0.38714044844347884,0.38980340155837273,0.39222475402518714,0.3890742359055057,0.003871273779988782,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
