modelo,variante,F1_baseline,F1_variante,diff_var_minus_base,wilcoxon_p,paired_t_p,significativo_5pct,promove_variante
decision_tree,robust,0.40119694225880276,0.4012123204968404,1.5378238037644375e-05,0.8125,0.9330283102554502,False,False
decision_tree,smote,0.40119694225880276,0.4190353370350408,0.01783839477623802,0.0625,0.007288812997592713,True,True
decision_tree,target_enc,0.40119694225880276,0.4066862147413094,0.0054892724825066795,0.0625,0.04163867033836209,True,True
decision_tree,undersample,0.40119694225880276,0.4110954046249079,0.009898462366105153,0.1875,0.15053458997203734,False,False
knn,robust,0.3956464449791262,0.39983692367134693,0.004190478692220667,0.0625,0.04559136369922295,True,True
knn,smote,0.3956464449791262,0.40762057416156267,0.011974129182436422,0.0625,0.001661712388746581,True,True
knn,target_enc,0.3956464449791262,0.38540270084547734,-0.010243744133648947,0.0625,0.0062908379991136795,True,False
knn,undersample,0.3956464449791262,0.4036867837574302,0.008040338778304002,0.0625,0.006566576869181834,True,True
lightgbm,robust,0.420443290360412,0.4207624537677229,0.00031916340731088513,1.0,0.37390096630005887,False,False
lightgbm,smote,0.420443290360412,0.4253429377633626,0.004899647402950602,0.0625,0.016349251584110124,True,True
lightgbm,target_enc,0.420443290360412,0.41842100656485004,-0.0020222837955620855,0.0625,0.04952567677997996,True,False
lightgbm,undersample,0.420443290360412,0.43695884618784786,0.016515555827435822,0.0625,0.0010284021590626483,True,True
lvq,robust,0.26482757961049896,0.2719219358660113,0.007094356255512357,0.0625,0.0033566333965289775,True,True
lvq,smote,0.26482757961049896,0.39211383262601435,0.12728625301551535,0.0625,7.369184931260309e-06,True,True
lvq,target_enc,0.26482757961049896,0.2720731675783019,0.007245587967802924,0.0625,0.0005399741168150568,True,True
lvq,undersample,0.26482757961049896,0.4168306629399168,0.15200308332941778,0.0625,4.121855371999594e-06,True,True
mlp,robust,0.4121339466801402,0.41003438571491735,-0.0020995609652228243,1.0,0.827384555664868,False,False
mlp,smote,0.4121339466801402,0.4386919703970726,0.026558023716932423,0.0625,0.00537440747635329,True,True
mlp,target_enc,0.4121339466801402,0.39802836887387627,-0.014105577806263914,0.125,0.0315563857066645,True,False
mlp,undersample,0.4121339466801402,0.4371426344985069,0.025008687818366626,0.0625,0.009953547794136933,True,True
mlp_committee,robust,0.4079160435245471,0.4107397744268913,0.0028237309023441902,0.3125,0.21762981271853676,False,False
mlp_committee,smote,0.4079160435245471,0.4490358206177964,0.04111977709324932,0.0625,3.1402293573738604e-05,True,True
mlp_committee,target_enc,0.4079160435245471,0.3934044653919402,-0.014511578132606917,0.0625,0.010899078826369448,True,False
mlp_committee,undersample,0.4079160435245471,0.4283168698197245,0.02040082629517732,0.0625,0.0006519521845897439,True,True
random_forest,robust,0.45123875565652716,0.45127508511558273,3.6329459055572944e-05,0.8125,0.9158425594779719,False,False
random_forest,smote,0.45123875565652716,0.42982561582954715,-0.02141313982698003,0.0625,0.00020656253368813357,True,False
random_forest,target_enc,0.45123875565652716,0.4438849576395844,-0.007353798016942692,0.0625,0.004769648968882275,True,False
random_forest,undersample,0.45123875565652716,0.43283624996887127,-0.0184025056876559,0.0625,0.0003210486102459952,True,False
stacking,robust,0.4167182689055398,0.4163532509850188,-0.000365017920521038,0.8125,0.47369357015556746,False,False
stacking,smote,0.4167182689055398,0.38853403394399744,-0.028184234961542397,0.0625,0.00030594150622171483,True,False
stacking,target_enc,0.4167182689055398,0.41448430689739035,-0.002233962008149404,0.0625,0.061549903088819045,False,False
stacking,undersample,0.4167182689055398,0.4384237402077734,0.021705471302233614,0.0625,0.0002938815158781004,True,True
svm,robust,0.4471321804286541,0.44722921662078674,9.703619213269343e-05,0.3125,0.12969868997145206,False,False
svm,smote,0.4471321804286541,0.42765179504181355,-0.019480385386840483,0.0625,0.00014801859225954867,True,False
svm,target_enc,0.4471321804286541,0.441005589805145,-0.006126590623509098,0.0625,0.0011971949525814939,True,False
svm,undersample,0.4471321804286541,0.4338180660711709,-0.01331411435748322,0.0625,5.164359752966829e-05,True,False
xgboost,robust,0.4240143433012033,0.4240143433012033,0.0,1.0,1.0,False,False
xgboost,smote,0.4240143433012033,0.4259393931929913,0.0019250498917879777,0.4375,0.33000956266954445,False,False
xgboost,target_enc,0.4240143433012033,0.4210405767020594,-0.0029737665991438457,0.0625,0.045062542673841785,True,False
xgboost,undersample,0.4240143433012033,0.4419207611904864,0.017906417889283065,0.0625,0.00017899269080993166,True,True
