mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__metric,param_clf__n_neighbors,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.338953399658203,0.027644852938656803,3.127189207077026,0.08510170461494117,euclidean,5,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.3852239990532003,0.38378408902141875,0.3894661478006984,0.3815802477232612,0.38695902062880777,0.38540270084547734,0.002690602864228236,1,0.5773517621955425,0.5762220818684091,0.5773730136944025,0.5795566273214919,0.580433396551823,0.5781873763263338,0.0015584142529675468
1.5443428993225097,0.0997458217782505,3.0341188430786135,0.1498520326189074,euclidean,5,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.3780462124805237,0.37575424001127916,0.3856813149945779,0.3734916460751425,0.3778178552592116,0.37815825376414697,0.004105639636287249,4,0.9999697403597406,0.9999879268619286,0.999972320337632,0.9999879269971088,0.9999879269971088,0.9999811683107037,8.317720711805418e-06
1.6659841060638427,0.09343606633756209,3.0041699409484863,0.18823528015089136,euclidean,11,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.38294051812230684,0.38531819369211107,0.3873746700573422,0.37141850409001487,0.38255166768616905,0.38192071072958883,0.005532142820445398,3,0.472955306598242,0.4717578687211499,0.47197124174740973,0.4739603232525793,0.47207518068158943,0.47254398420019406,0.0008174338663302084
1.5810356140136719,0.05323670740241927,3.064383697509766,0.09558320430586427,euclidean,11,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.3741780705044091,0.3747194144475791,0.3770688250120835,0.36710404757169623,0.3740713797299577,0.3734283474531451,0.0033434196564106175,7,0.9999204913584531,0.9999481740097775,0.999868660781516,0.9998998813138705,0.9999119557286988,0.9999098326384631,2.600894939770141e-05
1.5930788040161132,0.07846707626388584,3.108584403991699,0.1291704110559017,euclidean,21,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 21, 'clf__weights': 'uniform'}",0.37508340066933216,0.3725133310482119,0.37008502723332287,0.37100246332904513,0.3703701199450619,0.37181086844499484,0.0018390608379117105,8,0.4140968716129257,0.4179369176257233,0.4171655454063725,0.4183828927786018,0.4178449720376019,0.417085439892245,0.0015442308542638738
1.450016164779663,0.09912197879308565,3.1885096073150634,0.11559310552631695,euclidean,21,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 21, 'clf__weights': 'distance'}",0.3693987062534254,0.3660275678556213,0.36399331290893633,0.36611456166580814,0.3648314131000941,0.36607311235677703,0.0018401494449916344,10,0.9997105611422814,0.9997770596378045,0.9997735139980888,0.9998082918427101,0.9998203670268101,0.999777958729539,3.816165668270567e-05
1.4392802715301514,0.17726915596303797,3.2713131427764894,0.17503203880822066,euclidean,31,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 31, 'clf__weights': 'uniform'}",0.36927099801820185,0.36088381964181576,0.36447317544448204,0.3685635194977139,0.3632831055098957,0.3652949236224219,0.003183501440562198,11,0.3930878392154673,0.3963321367112111,0.3966450837847004,0.39692635736841547,0.3941084356856004,0.3954199705530789,0.0015336956055383064
1.3502493858337403,0.0400837116470155,3.362401008605957,0.07022759959806087,euclidean,31,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 31, 'clf__weights': 'distance'}",0.3652367145177331,0.35794825744010533,0.35979162753526656,0.3614411002101472,0.35865633441383205,0.36061480682341684,0.0025949379733981154,13,0.9995791647461939,0.999645674095205,0.9996213265329393,0.9996442436602796,0.9997408409845846,0.9996462500038404,5.3053599159044436e-05
1.3339033603668213,0.04091280164920824,22.428015279769898,0.37660224024996564,manhattan,5,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.3832764582917194,0.38443553873456465,0.3884561490517074,0.38197574724709754,0.3828719848878424,0.3842031756425862,0.002268659805089682,2,0.577887139548253,0.5799370121259773,0.5766706250771717,0.5801107323452678,0.5829137131436952,0.579503844448073,0.0021365401196831854
1.6607607841491698,0.15161749955260245,21.895393943786623,0.5642984759979751,manhattan,5,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.37545876465429245,0.3783938332480649,0.377934398404858,0.37172098089674405,0.3727560366256943,0.37525280276593076,0.002676081270610585,5,1.0,1.0,1.0,0.9999879269971088,1.0,0.9999975853994219,4.829201156475449e-06
