mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__criterion,param_clf__max_depth,param_clf__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
16.500204229354857,5.27854126607607,1.9867448329925537,0.6791221026216041,gini,6,1,"{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__min_samples_leaf': 1}",0.3457734471808526,0.4270861994183592,0.40836018316644723,0.40135689115680523,0.3634932567680981,0.38921399553811253,0.0299898912499115,6,0.34858320224731426,0.4258802963734422,0.41152624243734914,0.4103610291529957,0.37041363538873684,0.3933528811199677,0.029010736099712334
6.690201330184936,0.2796116173238237,1.1710777282714844,0.5552696818257172,gini,6,10,"{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__min_samples_leaf': 10}",0.34869696398228456,0.4278839813291711,0.4082477464130095,0.40186496564502283,0.36307404731385073,0.38995354093666773,0.029461468464333805,5,0.3516359833016825,0.4256833283652737,0.41125303631379784,0.40991505823710844,0.37013029330508296,0.39372353990458914,0.027996000766654004
8.584065151214599,0.4050168727691208,1.3088177680969237,0.2606544198632323,gini,12,1,"{'clf__criterion': 'gini', 'clf__max_depth': 12, 'clf__min_samples_leaf': 1}",0.37064028915194136,0.40973295672080745,0.38262843605096614,0.39753902692658377,0.41304551967021325,0.3947172457041024,0.01609471222995909,3,0.4010104636082952,0.44026267905765976,0.42144051607222993,0.440060576927286,0.45214363936613644,0.43098357500632145,0.017920376336887048
7.650461959838867,0.984808701698319,0.9388715267181397,0.10755106770681243,gini,12,10,"{'clf__criterion': 'gini', 'clf__max_depth': 12, 'clf__min_samples_leaf': 10}",0.36675836283314417,0.4007543973774866,0.3773557951373754,0.3959633049767179,0.3971781341679043,0.38760199889852565,0.013221507082939583,7,0.39047507335040327,0.4265366374110579,0.406875407539873,0.4324572633969977,0.42754880379785004,0.41677863709923635,0.01579231335163195
8.058089017868042,0.32097501209380597,1.0970813751220703,0.1921922570796821,gini,20,1,"{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.3754975018016868,0.373691472065978,0.3753845646241318,0.37514894293906426,0.3680591826474484,0.3735563328156618,0.0028243193223088338,9,0.4953023094104174,0.5093187748984095,0.5069441414638929,0.5185133369144975,0.4995279630881695,0.5059213051550774,0.00805960485397807
7.942142915725708,0.31878050432359767,1.2682542324066162,0.31082000771822,gini,20,10,"{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 10}",0.37132181919698315,0.36776789798761805,0.37719114271098625,0.3637573172875754,0.36776803865341057,0.36956124316731465,0.0045040475126822905,12,0.44376354233081255,0.44469542583463917,0.4445786894186632,0.445147632350197,0.44187029311817705,0.44401111661049786,0.0011598710516804705
8.283849620819092,0.3480413433104131,1.0874803066253662,0.05736680029611903,entropy,6,1,"{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__min_samples_leaf': 1}",0.40915589495543375,0.4276375873242854,0.4160948400620364,0.40897152315897384,0.39149239352822945,0.41067044780579176,0.011749773069764836,2,0.40912933742303575,0.4256501296657776,0.4199139510776047,0.41770955509117913,0.39626157558777964,0.41373290976907534,0.010222323670884662
7.060741853713989,0.7434653178534109,0.8637444496154785,0.06510934812687529,entropy,6,10,"{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__min_samples_leaf': 10}",0.41174801426693713,0.42818624471673733,0.41622978028751806,0.40829034736213093,0.3910226364912163,0.41109540462490796,0.012080305415266281,1,0.41207589399489963,0.4254846129315207,0.4198111710597526,0.4172502409223884,0.39645549394376345,0.4142154825704649,0.009874308302979399
6.092260885238647,0.36022756915805104,0.7688795566558838,0.10634336409554601,entropy,12,1,"{'clf__criterion': 'entropy', 'clf__max_depth': 12, 'clf__min_samples_leaf': 1}",0.3659940740171801,0.41329409386078986,0.37074242551534775,0.400970377054609,0.4087815654547963,0.3919565071805446,0.019716542486122264,4,0.3967506631263409,0.4429085809596063,0.410819628243356,0.4384955935588171,0.44318766616692734,0.4264324264110095,0.01909182164139644
6.0813404560089115,0.622725369777042,0.8034852981567383,0.03577074003305721,entropy,12,10,"{'clf__criterion': 'entropy', 'clf__max_depth': 12, 'clf__min_samples_leaf': 10}",0.3642295614031543,0.3995230194092912,0.3702665177522646,0.3953477400125794,0.4060489111706979,0.38708314994959747,0.0166603693097701,8,0.3874719664701784,0.42456605756237087,0.40258420170727854,0.42743928873094655,0.436615538546278,0.41573541060341046,0.018015090349762675
6.147032356262207,0.2905939985479275,0.9159374237060547,0.3086813404892634,entropy,20,1,"{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.3738850234422741,0.3813158884141481,0.36029774776277446,0.3682088174386718,0.376742478493959,0.3720899911103655,0.007267812232380392,10,0.4836639134931257,0.5061377140424378,0.4845654493550424,0.504341984524039,0.49798371640803324,0.49533855556453565,0.009560727144356738
5.542792272567749,0.47581357782092765,0.6886154174804687,0.0836800402457618,entropy,20,10,"{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 10}",0.37613667794234656,0.37084350768410346,0.37232599042372305,0.35820249151064126,0.3812925953778059,0.37176025258772405,0.007681041907096518,11,0.43355275049480796,0.4398206931237764,0.4376411682538109,0.4401715790621869,0.45066245581159786,0.440369729349236,0.005660338659396896
