mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate_init,param_clf__hidden_layer_sizes,param_clf__alpha,param_clf__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
8.249475955963135,2.712677634972493,0.45906591415405273,0.044996421645389494,0.001,"(64, 64)",0.0001,tanh,"{'clf__learning_rate_init': np.float64(0.001), 'clf__hidden_layer_sizes': (64, 64), 'clf__alpha': np.float64(0.0001), 'clf__activation': 'tanh'}",0.41862461460835637,0.4444385823730783,0.45052914295811625,0.43053480522092946,0.44158602733205404,0.4371426344985069,0.011302687047021113,1,0.43767939729997263,0.46308272328380884,0.46150354400961796,0.45666783111979425,0.45807100762255337,0.45540090066714944,0.009154659141630448
10.316498231887817,2.276243734286139,0.38794598579406736,0.07201561384674868,0.0001,"(128, 64)",0.0001,tanh,"{'clf__learning_rate_init': np.float64(0.0001), 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': np.float64(0.0001), 'clf__activation': 'tanh'}",0.4445095023260395,0.43063550649209326,0.4461785222096523,0.4415575393828129,0.411448354432806,0.4348658849686807,0.012899846466783577,2,0.449135683366298,0.43813788378324786,0.4473207183494942,0.4545282459547176,0.41608237867009334,0.4410409820247702,0.013551571327699727
7.349528169631958,1.8290239903260064,0.37902216911315917,0.034497394859358266,0.001,"(128, 64)",0.01,tanh,"{'clf__learning_rate_init': np.float64(0.001), 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': np.float64(0.01), 'clf__activation': 'tanh'}",0.43827150883096583,0.4348174481263159,0.4503796050641456,0.4297674266795806,0.4185896145680011,0.43436512065380184,0.010410893927093363,3,0.44366562742967625,0.4538640905059624,0.4569287098375871,0.4484206100824717,0.4327572607838414,0.4471272597279078,0.008504185277202694
4.082211351394653,0.653259936433183,0.32475008964538576,0.021306211924206148,0.1,"(128,)",0.01,relu,"{'clf__learning_rate_init': np.float64(0.1), 'clf__hidden_layer_sizes': (128,), 'clf__alpha': np.float64(0.01), 'clf__activation': 'relu'}",0.23351023502653526,0.3299454720272475,0.17257650932374405,0.4134757766960196,0.3188501255475287,0.293671623724215,0.08316995072232042,10,0.23352154452890672,0.327702200012263,0.17257820412157623,0.42549195429534925,0.32304781968105883,0.29646834452783083,0.08676425603354224
5.177439975738525,0.27125631626455887,0.4023397922515869,0.05041860322359864,0.01,"(128, 64)",1e-05,tanh,"{'clf__learning_rate_init': np.float64(0.01), 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': np.float64(1e-05), 'clf__activation': 'tanh'}",0.40074453041340047,0.3903628619029549,0.3821749274840167,0.4158129779252189,0.42110632876469517,0.4020403252980572,0.014736856616086457,8,0.4132257413189991,0.39139585176304176,0.3882835446112383,0.4267186413415153,0.43480075720075145,0.41088490724710913,0.01854076263366105
5.5660748958587645,0.5166537384215667,0.33970179557800295,0.04775537239733785,0.001,"(128, 64)",0.0001,relu,"{'clf__learning_rate_init': np.float64(0.001), 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': np.float64(0.0001), 'clf__activation': 'relu'}",0.4271545442148758,0.44411336972069715,0.40850797734670596,0.416302255552585,0.4401163807980823,0.4272389055265893,0.013572339600606019,6,0.4371497024438415,0.46091916131802285,0.44555507253286075,0.4427183807212846,0.4638699107460778,0.45004244555241757,0.010483348765148214
6.286215782165527,2.5583878241348765,0.420684289932251,0.07569893464369527,0.001,"(128,)",0.0001,tanh,"{'clf__learning_rate_init': np.float64(0.001), 'clf__hidden_layer_sizes': (128,), 'clf__alpha': np.float64(0.0001), 'clf__activation': 'tanh'}",0.4520385096975554,0.43339628221764864,0.3945800498831604,0.4373871731537717,0.4296280090807664,0.4294060048065805,0.01899867396356563,5,0.4565391851168294,0.45240160012896835,0.4027568923677948,0.4451249139218003,0.4418733801570102,0.43973919433848063,0.019203268441308305
3.3637020587921143,0.8309581703375251,0.31927995681762694,0.0321461726906784,0.1,"(64,)",0.01,relu,"{'clf__learning_rate_init': np.float64(0.1), 'clf__hidden_layer_sizes': (64,), 'clf__alpha': np.float64(0.01), 'clf__activation': 'relu'}",0.4032990575829835,0.4157961691656428,0.40600211514374046,0.17257650932374405,0.42327151489769443,0.36418907322276106,0.09607010280126384,9,0.4052153067293238,0.4056500985651715,0.4078971893442544,0.17257820412157623,0.4230245038463745,0.36287306052134005,0.09537320533597984
10.585630750656128,1.244579917022069,0.4141953468322754,0.062332329551263506,0.0001,"(128,)",0.0001,tanh,"{'clf__learning_rate_init': np.float64(0.0001), 'clf__hidden_layer_sizes': (128,), 'clf__alpha': np.float64(0.0001), 'clf__activation': 'tanh'}",0.4177275207317079,0.4352590101058282,0.4367805244180058,0.43859385675543433,0.42542880384948134,0.43075794317209154,0.007951405724598336,4,0.4275110882676641,0.43928001526375865,0.44105606790278906,0.44722132080540394,0.43580413439687077,0.4381745253272973,0.006491495160970037
6.460216331481933,1.6327973600145573,0.43725953102111814,0.071494262103297,0.01,"(128, 64)",0.01,tanh,"{'clf__learning_rate_init': np.float64(0.01), 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': np.float64(0.01), 'clf__activation': 'tanh'}",0.41643932076258955,0.45283343209485016,0.38414815078045167,0.4206330042532051,0.3389974917513861,0.4026102799284965,0.038537937174543145,7,0.4381350767846319,0.45302162225902687,0.3931681078864113,0.43014267411337254,0.35115905503213746,0.413125307215116,0.036728467212240955
