mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
167.7968349456787,10.84059401265683,3.815493583679199,0.43422013792309005,0.7,800,8,0.03,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 800, 'clf__max_depth': 8, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.4168793275194596,0.4250789354257039,0.4186810154305541,0.42106686012589095,0.42094397532984873,0.4205300227662915,0.0027531277257458117,2,0.5443796345177487,0.5528905021850841,0.5566119907976819,0.5571553137701631,0.5553095691252766,0.5532694020791908,0.004682029966012084
28.477076911926268,1.8792294196187793,3.3202335834503174,0.6726047706549217,0.7,200,4,0.03,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.38727082403412316,0.3913473304993353,0.38858496255350666,0.3897632839682584,0.3876920359431111,0.38893168739966694,0.0014793448150826568,10,0.3942029563628868,0.39504680690663974,0.3987797236005192,0.39798835605876376,0.39803491725177714,0.39681055203611737,0.001826158877202922
67.47321410179138,2.7084335667775696,2.5064420223236086,0.29399161128542534,1.0,200,10,0.03,0.9,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 10, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.4089562944865124,0.4121615817145922,0.41115852055323066,0.40884440618758133,0.401869520368254,0.40859806466203413,0.0035976911824766402,4,0.5071223368013195,0.5021240434425374,0.5131343252495278,0.5091879460095771,0.5126886503155738,0.5088514603637071,0.004035546745411937
34.537827491760254,4.811963675309941,3.677260637283325,1.4025438789013336,0.7,200,6,0.03,0.7,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.7}",0.397380738270029,0.39981841854126543,0.3964660755259625,0.39705865178766686,0.394253373038133,0.3969954514326114,0.0017844223883662956,8,0.41753258790911946,0.41724359239824266,0.4235288397752681,0.41959176585041896,0.4242027330396738,0.4204199037945446,0.002935528558643189
27.94532713890076,1.6116988280331406,2.54512095451355,0.48033254963628497,0.7,200,4,0.1,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.9}",0.4060783113848084,0.40708801555988733,0.4063759805420404,0.4054335816899913,0.40229184117210176,0.4054535460697658,0.0016679019158830307,5,0.42281986970415825,0.4228365524113422,0.4264472440439291,0.42434833574993336,0.4248709764218655,0.42426459566624575,0.0013612644567761864
45.93635606765747,5.495490202849975,2.4885441780090334,0.3038399120795328,0.7,200,8,0.03,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 8, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.9}",0.4061053770207623,0.40956743336616674,0.4051042523734935,0.40370632594156164,0.4024198691373712,0.4053806515678711,0.002437226465757094,6,0.45520809997926387,0.4574377040426864,0.4638717491319159,0.4582182885859629,0.4644154242774321,0.4598302532034523,0.003661816624574307
43.17539043426514,3.4491566312941093,2.759037446975708,0.14515060435319255,0.7,500,4,0.03,1.0,"{'clf__subsample': 0.7, 'clf__n_estimators': 500, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 1.0}",0.4002991626104752,0.4042275653199507,0.40356627810413287,0.4012948235205002,0.3978446861482552,0.40144650314066277,0.002303919937280809,7,0.41660756695078255,0.41776033492956205,0.42116928211687227,0.4199440110485185,0.42208890581473896,0.4195140201720949,0.0020531781505697265
97.57934036254883,3.0161129635053503,3.23988037109375,0.6750970129992796,0.9,800,6,0.1,0.9,"{'clf__subsample': 0.9, 'clf__n_estimators': 800, 'clf__max_depth': 6, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.9}",0.4191272887451037,0.4235002152503296,0.4218926489816024,0.42214945824381306,0.41853327228944864,0.4210405767020594,0.0018948727374192415,1,0.5674415376466103,0.5789150784661511,0.5787993967206733,0.5787091802602604,0.5717303112168711,0.5751191008621132,0.004717447738971478
57.70072474479675,6.29821908692879,2.0914471626281737,0.16248508964166805,1.0,500,6,0.05,1.0,"{'clf__subsample': 1.0, 'clf__n_estimators': 500, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 1.0}",0.4119976959751966,0.4172223966289604,0.41347131335425474,0.41358823843746323,0.41214410236118887,0.41368474935141275,0.0018862428149325112,3,0.4631113225811201,0.4631958467518505,0.47085725057906597,0.46492181780717123,0.46679004568801113,0.46577525668144376,0.0028752292809857975
24.66301898956299,3.836508001475721,1.5774726867675781,0.1973273193134071,0.7,200,4,0.05,0.9,"{'clf__subsample': 0.7, 'clf__n_estimators': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.9}",0.3968688402014651,0.39895653866090797,0.3962748374940932,0.39602035984480594,0.3946735542908633,0.3965588260984271,0.0013978540337557554,9,0.406260605494218,0.4063361058419472,0.41170689828245716,0.40952398658696865,0.4118491913479261,0.4091353575107034,0.0024588109995315553
